puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
11,medium,min_conflicts,5,5,True,3669.316,0,0,0,2129,2,2129,solved
11,medium,min_conflicts,6,6,True,139.008,0,0,0,68,0,68,solved
11,medium,min_conflicts,7,7,True,173.044,0,0,0,103,0,103,solved
11,medium,min_conflicts,8,8,True,248.177,0,0,0,174,0,174,solved
11,medium,min_conflicts,9,9,True,198.574,0,0,0,131,0,131,solved
12,medium,min_conflicts,0,0,True,139.044,0,0,0,76,0,76,solved
12,medium,min_conflicts,1,1,True,112.619,0,0,0,70,0,70,solved
12,medium,min_conflicts,2,2,True,135.628,0,0,0,98,0,98,solved
12,medium,min_conflicts,3,3,True,668.548,0,0,0,453,0,453,solved
12,medium,min_conflicts,4,4,True,133.223,0,0,0,86,0,86,solved
12,medium,min_conflicts,5,5,True,912.741,0,0,0,610,0,610,solved
12,medium,min_conflicts,6,6,True,1005.644,0,0,0,779,0,779,solved
12,medium,min_conflicts,7,7,True,719.449,0,0,0,486,0,486,solved
12,medium,min_conflicts,8,8,True,1166.731,0,0,0,786,0,786,solved
12,medium,min_conflicts,9,9,True,337.708,0,0,0,256,0,256,solved
13,medium,min_conflicts,0,0,True,311.83,0,0,0,168,0,168,solved
13,medium,min_conflicts,1,1,True,582.332,0,0,0,392,0,392,solved
13,medium,min_conflicts,2,2,True,2257.09,0,0,0,1286,1,1260,solved
13,medium,min_conflicts,3,3,True,799.852,0,0,0,414,0,414,solved
13,medium,min_conflicts,4,4,True,786.543,0,0,0,467,0,462,solved
13,medium,min_conflicts,5,5,True,81.248,0,0,0,41,0,41,solved
13,medium,min_conflicts,6,6,True,3656.448,0,0,0,2337,2,2191,solved
13,medium,min_conflicts,7,7,True,456.537,0,0,0,313,0,308,solved
13,medium,min_conflicts,8,8,True,88.287,0,0,0,63,0,60,solved
13,medium,min_conflicts,9,9,True,1068.505,0,0,0,637,0,626,solved
14,medium,min_conflicts,0,0,True,122.145,0,0,0,78,0,78,solved
14,medium,min_conflicts,1,1,True,86.461,0,0,0,53,0,53,solved
14,medium,min_conflicts,2,2,True,127.505,0,0,0,90,0,90,solved
14,medium,min_conflicts,3,3,True,804.087,0,0,0,526,0,526,solved
14,medium,min_conflicts,4,4,True,634.113,0,0,0,421,0,421,solved
14,medium,min_conflicts,5,5,True,94.333,0,0,0,59,0,59,solved
14,medium,min_conflicts,6,6,True,170.755,0,0,0,109,0,109,solved
14,medium,min_conflicts,7,7,True,506.73,0,0,0,323,0,323,solved
14,medium,min_conflicts,8,8,True,228.075,0,0,0,174,0,174,solved
14,medium,min_conflicts,9,9,True,274.635,0,0,0,160,0,160,solved
